iter	Passed	Remaining
0	1	180
1	3	168
2	4	131
3	4	108
4	5	98
5	5	91
6	6	85
7	7	81
8	7	77
9	8	74
10	8	72
11	9	69
12	10	67
13	10	65
14	11	64
15	11	62
16	12	61
17	13	60
18	13	58
19	14	57
20	15	56
21	15	55
22	16	54
23	16	53
24	17	52
25	18	51
26	18	50
27	19	49
28	19	48
29	20	47
30	20	46
31	21	45
32	22	44
33	22	43
34	23	42
35	23	42
36	24	41
37	24	40
38	25	39
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	29
51	31	29
52	32	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	24
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	54	2
96	54	1
97	55	1
98	56	0
99	56	0
